gene	Toy_1	Toy_2	Toy_3	Toy_4
AMT	1.47202107084116	1.01625665755812	1.09629851308786	0.785467724469703
AMZ2	77.7104774586013	79.6260697810763	81.2133808373362	63.8527908480915
ANAPC11	42.0389814412315	56.9057593576834	47.7204795557957	65.8283019108462
ANAPC15	28.18289101904	26.1150674021824	21.5279965435856	29.6419678237487
ANAPC16	137.880256473489	130.950663562493	130.953869323226	107.963290472913
ANAPC5	121.456133186497	124.40434625419	101.048817146603	103.011889839689
ANGEL2	45.4932347982794	42.9756828006052	37.6972529084868	32.3593504670318
ANK1	2.63696137828539	2.81551718648046	3.04705368662201	1.6143178354491
ANK2	2.87691431254987	2.54867051981989	1.18021056380605	1.04013238430683
ANK3	13.3421661322276	8.56923495646054	4.02897313140719	4.22993033820004
ANKH	32.2414709598679	23.2800702698715	16.2794114170559	13.3933506064009
ANKHD1	7.50490778918567	7.03089943882507	5.71563113319109	4.50137841905442
ANKLE2	30.0606946160506	21.4718537971426	26.8240760237398	20.8696233875034
ANKRD10	250.637987527679	279.139369091682	253.249564444084	219.414981654996
ANKRD11	74.7624336461597	51.3761343656598	51.0210219186584	40.9494896488096
ANKRD12	84.6605708068044	83.3437440853211	65.2688627228549	49.1383611940617
ANKRD13A	65.5927830047761	56.0965345344689	87.3332032819244	76.4941180813468
ANKRD13D	78.9139228484927	61.9186782018688	53.4780271284397	58.2326424879402
ANKRD20A1	0.461117610105181	0.579951493903793	0.356356126901873	0.218818318927265
ANKRD28	19.4696382279158	20.5006297763563	16.0572200257816	12.701430757724
ANKRD36	44.6545994528815	50.6204985248963	26.2741749086401	19.5902672026273
ANKRD36B	38.7824726338443	37.9671606542578	22.1531060703206	16.5291043731916
ANKRD36C	36.9912146749709	40.0389383998129	21.8480485354429	16.4419126336784
ANKRD37	16.1990196527727	16.039692277194	24.5273954726156	13.457601039366
ANKRD44	211.912896281018	209.592730628376	180.909648068357	157.20625514635
ANKRD55	40.6782705763614	16.1385852575221	8.04728259350711	11.6526693168887
ANKS3	21.9201988397695	15.4574779015822	16.5605621765536	12.6061896927496
ANP32A	61.9735578538287	62.2970745665823	60.1122162136526	68.2387625943035
ANP32B	272.410274088672	195.169657542721	175.991759905495	170.121124965936
ANP32E	196.214651470163	307.767671058431	161.5554455636	131.230351141199
ANPEP	36.8967007306792	71.3104149451604	72.8963610336877	192.906787454223
ANTXR2	26.6900270973545	26.223616444064	30.140619260918	35.3427647975731
ANXA1	677.576839927658	1245.35560023013	698.687217107534	1366.55749796452
ANXA11	102.246952869859	80.556347661409	88.2926034280967	101.37991458468
ANXA2	159.566150213237	312.790005635279	263.804199595897	549.011691740155
ANXA2R	52.7703727553495	59.8748860067289	34.5583680186978	27.5907285587089
ANXA3	1.80734170685516	2.14745553550727	1.0080563575596	0.826653500126751
ANXA4	21.4405272028656	30.5060680713837	38.2960768179662	46.5201206000559
ANXA5	315.045125193018	581.353578522787	494.87356574908	1018.04909526362
ANXA6	366.226253399229	329.087843492517	307.417516119275	270.006522722316
ANXA7	194.251619332197	228.675834186367	186.552410934566	227.088969021802
AOAH	201.668074471641	390.717064016085	262.176115409001	580.094645514945
AP1B1	76.8030047820347	69.5607446914883	116.48149023355	116.908429581309
AP1G1	49.0500495625354	44.3091865766792	47.9046794432977	38.2237713417109
AP1M1	30.3966131533862	27.4703882469616	26.8137242150922	34.2970022346855
AP1S3	2.49652199874982	2.23119885865601	3.276403597327	1.65745688115165
AP2A1	36.4432696084925	31.5662379246909	31.204603115502	43.9293831644752
AP2M1	124.196075012079	151.158606069275	142.61986265075	187.230953456665
AP2S1	74.1588382019744	97.6256089350251	82.3541788967492	139.688460471153
AP3D1	53.3196711299136	39.6347491870406	45.966745440358	44.5254518777081
AP3M2	51.5277948050673	39.8876755874673	21.853785208184	19.6642175722073
AP3S1	65.3157976830116	88.226731834672	75.3477239008962	86.1504727111297
AP5B1	19.993099679071	20.3439008188137	25.4659255307514	37.1206622739185
APBA2	95.2847740888143	45.8696721739712	21.1811823943717	27.4812806830233
APBA3	25.7126409279681	19.5611095477499	22.2747173091968	18.6443077925168
APBB1	168.464704311718	87.289028643283	63.066301053319	58.571190788901
APBB1IP	166.705412118266	153.501781205452	131.473331027272	128.221344228102
APBB2	1.99759315187618	1.62061278367203	3.68041663722827	1.7409044237289
APC	23.6593743099752	20.8184691092436	20.3674609489921	17.6868196239855
APEX1	223.646113899126	178.568633262828	190.556912977475	183.127124171949
APIP	11.5832228503136	13.0237304739867	9.98323101451176	11.1449292399749
APLP2	246.308466615868	362.09132335682	493.098256553523	850.287220233481
APMAP	170.605525448057	283.407216639236	146.413762644752	172.463216144651
APOBEC3A	27.1923932155911	51.7056684543855	55.1154023219902	137.793602330031
APOBEC3B	1.04257878473158	1.66078501804439	1.73537377363247	2.61647903222108
APOBEC3C	157.351521648082	270.947303696648	215.043486633367	155.837465505574
APOBEC3D	4.96763027208702	5.34415191572613	4.10125452501804	2.58154976906753
APOBEC3F	20.6712830535005	23.7831746205263	33.3823801829835	19.1273344025537
APOBEC3G	109.245932532768	214.99839906731	114.858531233812	89.8988912246321
APOBR	8.77115366909333	11.1806461740775	8.61736090765474	18.4392040105329
APOC1	1.05371246367029	1.16865020706173	1.19835880836468	0.631565649526292
APOD	1.60078525214055	1.93390464861671	1.07232751990242	0.711307534884664
APOE	3.07599177176272	2.11084474297224	4.547063704654	2.13789083453377
APOL3	79.6428967919273	78.0248390972521	60.6325343186099	81.2625972498932
APOL6	41.3971971699028	43.1235920264791	24.2906718899675	34.0395433805702
APOM	10.6471962824402	9.27531863780276	14.8535910377759	9.75446217613111
APP	48.765879909204	34.6764629705346	42.7319589908214	59.3158712722419
